#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
150,Seychelles,"50,665",,172                                ,,"50,440",,53,,"509,575","1,730",,,"99,426 ",Africa,,2578,,,533,
151,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,,"487,6191",,,0.4,
152,Andorra,"47,890",,165                                ,,"47,563",,162,14,"618,231","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,"2,091",
153,Papua New Guinea,"46,825",,670                                ,,"43,982",,"2,173",7,"5,039",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19813,86937",,,234,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866",
155,Aruba,"44,044",,236                                ,,"42,438",,"1,370",2,"409,297","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"12,731",
156,Tanzania,"42,906",,846                                ,,N/A,N/A,N/A,7,678,13,,,"63,298,550 ",Africa,,"1,47574,821",,,662,
157,Mayotte,"42,004",,188                                ,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,"135,723",
158,Mauritius,"41,752",,"1,043                                ",,"40,030",,679,,"32,754",818,"358,675","281,374","1,274,727 ",Africa,,"311,2224",,,533,
159,Togo,"39,396",,290                                ,,"39,081",,25,,"4,538",33,"808,684","93,157","8,680,837 ",Africa,,"22029,93411",,,3,
160,Guinea,"38,267",,467                                ,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691 ",Africa,,"36229,69121",,,3,
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450",
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,,114812,,,729,
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,,"633,0095",,,"3,717",
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133",
165,Haiti,"34,202",,860                                ,,"33,052",,290,,"2,928",74,"132,422","11,337","11,680,283 ",North America,,"34213,58288",,,25,
166,Mali,"33,061",,743                                ,,"32,190",,128,,"1,540",35,"797,105","37,120","21,473,764 ",Africa,,"65028,90127",,,6,
